date,site,site_sampled,location,lat,lon,elevation_m,survey ,verreauxii_tadpoles_detected,swabbed,time_start ,time_end ,temp ,humidity ,wind ,secchi_1,secchi_2,secchi_3,secchi_4,secchi_avg,time_micropredators_collected ,Gambusia_detected,Crayfish_detected ,survey_notes ,quadrant_1,quadrant_2,quadrant_3,quadrant_4,ibutton1_ID,balloon_colour ,quadrant,depth_cm,distance_from_shore_cm,north-south _length_m,east_west_length_m,temp_recording_start_date,notes ,iButton2_ID,balloon_colour .1,quadrant.1,depth_cm.1,distance_from_shore_cm.1,temp_recording_start_date.1,notes .1,Collection date,visit_type,verreauxii_adults_detected,temp,humidity,wind,other species detected (acoustic/observed),notes
2022-09-16 00:00:00,10,,Hall TSR,-35.1609,149.0605,630.61474609375,test,N,0,,,,,,,,,,,,Y,,"First site test so did not collect any data, no larvae detected yet but adults present in earlier acoustic survey ",,,,,,,,,,,,,,,,,,,,,,Tadpole,,,,,,
2022-09-27 00:00:00,1,10.0,Watson pond,-35.241248,149.168755,640.9990234375,test,Y,2,11:00:00,03:30:00,14.1,86.0,2.1,,,,,,02:00:00,N,,"TEST VISIT. Rainy, overcast day. Sun on and off. Trees around outside of dam offering some shade. ",,,,,,,,,,,,,,,,,,,,,,Tadpole,,,,,,
2022-09-28 00:00:00,26,13.0,Campbell park woodland,-35.27885,149.178388,589.423889160156,1,Y,19,02:00:00,06:30:00,14.3,100.0,0.0,27,,,,27,04:00:00,N,,Rainy overcast day ,,,,,18.0,Blue,4.0,0.0,20.0,28.4,38.0,2022-10-03 00:00:00,Tied to big tree at site where we processed samples ,53,Green,4.0,79,300.0,2022-10-03,Tied to same tree further in ,2022-11-02 00:00:00,Tadpole,,,,,,
2022-09-29 00:00:00,24,,Mt. Majura dam 1,-35.251023,149.174601,651.597839355469,1,N,0,11:01:00,11:41:00,19.7,68.1,2.5,,,,,,,Y,,No tadpoles detected in quadrants. Yet many Gambusia fish and shrimp present,,,,,,,,,,,,,,,,,,,,,,Tadpole,,,,,,
2022-09-29 00:00:00,55,11.0,Mt. Majura dam 2,-35.250603,149.176689,657.369750976562,1,Y,16,11:53:00,03:15:00,17.1,65.6,3.2,20,20,21,18,19.75,02:50:00,N,,"Sunny day, 50% canopy cover   ",,,,,26.0,Peach,2.0,5.0,5.0,39.3,40.0,2022-10-03 00:00:00,Tied to base of big white log/tree in q2,55,Purple,2.0,98,557.0,2022-10-03,Tied to big outlying branch next to main log in q2,2022-11-08 00:00:00,Tadpole,,,,,,
2022-09-29 00:00:00,1,10.0,Watson pond,-35.241248,149.168755,640.9990234375,1,Y,18 (20 total),03:40:00,06:00:00,20.2,67.4,4.8,18,21,21,20,20,2:00 (27/09/2022),N,,"20 total swabbed for site 1 (including test visit on 27/09); 30% canopy cover, trees standing in water N side",,,,,51.0,yellow ,1.0,0.0,20.0,24.2,25.6,2022-10-03 00:00:00,tied to log on east side of dam ,58,red ,1.0,57,350.0,2022-10-03,tied to reeds in front of log ,2/11/222,Tadpole,,,,,,
2022-10-10 00:00:00,38,15.0,Urriara rest area,-35.247811,148.955793,471.0,1,Y,20,02:39:00,05:00:00,19.5,46.9,1.3,34,32,30,30,31.5,04:50:00,N,,"Sunny day, exposed dam, no canopy cover","Bare, no canopy","Overhanging grass, no canopy","Bare patches,slight overhanging grass, no canopy ","Overhanging grass, no canopy",17.0,Yellow,4.0,0.0,40.0,37.3,29.3,2022-10-10 00:00:00,Tied to small tee at base of pipe very exposed dam so measured 1 m of line and tgrew it out to avoid evaporation ,11,Purple,4.0,200,150.0,2022-10-10,Tied to drainage pipe. Very exposed dam so measured 2 m of line and threw it out until it was taught. , 9/11/2022,Tadpole,,,,,,
2022-10-11 00:00:00,54,8.0,Gungahlin Hill Nature Reserve,-35.209796,149.11719,611.999877929688,1,Y,20,11:30:00,01:30:00,16.3,69.1,1.7,33,32,25,20,27.5,01:40:00,N,,"Sunny day, dam very murky with lots of underwater vegetation, high water following rains","no canopy, lots of submerged reeds and grasses ","Overhanging grass, thick vegetation, slight tree cover~5%","overhanging grasses, lots of underwater vegation, no canopy cover","submetged grasses, no canopy",711.0,aqua,3.0,0.0,5.0,63.7,41.0,2022-10-11 00:00:00,tied to reeds at shoreline parallell to other ibutton ,17,yellow ,3.0,99,380.0,2022-10-11,"Tied to reed on starting corner of q3, only reeds in this area, overflooded so measured from grass line for dam measurements  ",2022-11-09 00:00:00,Tadpole,,,,,,
2022-10-11 00:00:00,56,9.0,Watson Billabong Pond,-35.232185,149.156279,596.398376464844,1,N,0,03:33:00,04:00:00,,,,54,52,54,56,54,,Y,,"Gambusia present 10-20 per scoop in certain areas amongst the reeds, no tadpoles detected across quadrants",,,,,,,,,,,,,,,,,,,,,,Tadpole,,,,,,
2022-10-12 00:00:00,43,1.0,Northern trail head site,-35.152934,149.157033,656.984741210938,1,Y,20,11:25:00,11:56:00,23.8,51.6,2.1,63,62,60,61,61.5,01:00:00,N,,"Tadpoles present in all quadrants at various sizes, scooping 5-10 in each scoop  ","Flooded grassland, lots of underwater vegetation, no canopy","Partial flooded grassland, underwater vegetation, no canopy","Steep bank, overhanging grass, no canopy","Little overhanging grass, underwater vegetation, single tree",62.0,Purple,1.0,5.0,100.0,62.8,51.6,2022-10-11 00:00:00,Tied to reeds on left of log in q 4 ,28,Yellow,1.0,130,500.0,2022-10-11,"Tied to only log in dam casted outwards another 2 m in q 4, over flooded so measured from grass line for dam measurement  ",2022-11-10 00:00:00,Tadpole,,,,,,
