"site","survey_period","species_richness","shannon_index","elevation_m","count"
1,1,11,1.65124587507858,640.9990234375,2139
1,1,11,1.65124587507858,640.9990234375,654
1,1,11,1.65124587507858,640.9990234375,2139
1,1,11,1.65124587507858,640.9990234375,654
1,1,11,1.65124587507858,640.9990234375,2139
1,1,11,1.65124587507858,640.9990234375,654
1,2,9,1.76578741318843,640.9990234375,2139
1,2,9,1.76578741318843,640.9990234375,654
1,2,9,1.76578741318843,640.9990234375,2139
1,2,9,1.76578741318843,640.9990234375,654
1,2,9,1.76578741318843,640.9990234375,2139
1,2,9,1.76578741318843,640.9990234375,654
25,1,6,1.26734503218343,644.988708496094,588
25,1,6,1.26734503218343,644.988708496094,466
25,1,6,1.26734503218343,644.988708496094,588
25,1,6,1.26734503218343,644.988708496094,466
25,2,8,1.28958412849197,644.988708496094,588
25,2,8,1.28958412849197,644.988708496094,466
25,2,8,1.28958412849197,644.988708496094,588
25,2,8,1.28958412849197,644.988708496094,466
26,1,9,1.30746096507851,589.423889160156,882
26,1,9,1.30746096507851,589.423889160156,130
26,1,9,1.30746096507851,589.423889160156,882
26,1,9,1.30746096507851,589.423889160156,130
26,2,6,1.3441978829386,589.423889160156,882
26,2,6,1.3441978829386,589.423889160156,130
26,2,6,1.3441978829386,589.423889160156,882
26,2,6,1.3441978829386,589.423889160156,130
27,1,7,1.7338737459357,615.625671386719,662
27,1,7,1.7338737459357,615.625671386719,1586
27,1,7,1.7338737459357,615.625671386719,662
27,1,7,1.7338737459357,615.625671386719,1586
27,2,5,1.10511913104718,615.625671386719,662
27,2,5,1.10511913104718,615.625671386719,1586
27,2,5,1.10511913104718,615.625671386719,662
27,2,5,1.10511913104718,615.625671386719,1586
3,1,5,1.38047483287902,654.998840332031,586
3,1,5,1.38047483287902,654.998840332031,688
3,1,5,1.38047483287902,654.998840332031,586
3,1,5,1.38047483287902,654.998840332031,688
3,2,10,1.68556172954527,654.998840332031,586
3,2,10,1.68556172954527,654.998840332031,688
3,2,10,1.68556172954527,654.998840332031,586
3,2,10,1.68556172954527,654.998840332031,688
32,1,8,1.61697029941849,746.221130371094,566
32,1,8,1.61697029941849,746.221130371094,NA
32,1,8,1.61697029941849,746.221130371094,566
32,1,8,1.61697029941849,746.221130371094,NA
32,2,5,NA,746.221130371094,566
32,2,5,NA,746.221130371094,NA
32,2,5,NA,746.221130371094,566
32,2,5,NA,746.221130371094,NA
33,1,7,1.20920076320346,786.190673828125,456
33,1,7,1.20920076320346,786.190673828125,666
33,1,7,1.20920076320346,786.190673828125,456
33,1,7,1.20920076320346,786.190673828125,666
33,2,8,1.83326681106911,786.190673828125,456
33,2,8,1.83326681106911,786.190673828125,666
33,2,8,1.83326681106911,786.190673828125,456
33,2,8,1.83326681106911,786.190673828125,666
34,1,7,1.31167826831725,1220.05541992188,1014
34,1,7,1.31167826831725,1220.05541992188,628
34,1,7,1.31167826831725,1220.05541992188,1014
