site,Survey_period,Bd_tadpole_prevalence,Bd_tadpole_GE,Bd_adult_prevalence,Bd_adult_GE,elevation_m,temp ,secchi_avg,Total_count,Order_count,Shannon_index
1,1,0,,71.42857143,623.18,640.9990234,20.2,20,713,4,1.267302723
26,1,0,,92.30769231,1345.658333,589.4238892,14.3,27,441,4,0.781582876
55,1,0,,75,146.3333333,657.369751,17.1,19.75,1034,4,1.092838278
38,1,0,,100,155.125,471,19.5,31.5,216,4,1.038440115
54,1,0,,80,1652,611.9998779,16.3,27.5,398,4,1.254068971
43,1,0,,50,378.1,656.9847412,23.8,61.5,394,4,0.574037082
25,1,0,,0,,644.9887085,15.8,15.5,294,4,0.973704789
27,1,10,303.95,14.28571429,58.1,615.6256714,16.4,37.5,331,4,1.241037234
32,1,0,,0,,746.2211304,19.1,84.5,283,4,1.029944697
6,1,5,11.2,100,1912.125,636,19.4,50.25,582,4,0.670755817
3,1,0,,50,1250,654.9988403,23.6,39.75,293,3,0.912198176
4,1,0,,60,440.8666667,659.8890381,19.1,38.25,443,4,0.852298022
33,1,0,,33.33333333,54.3,786.1906738,18,81.5,228,4,0.98515677
68,1,0,,70,237.3357143,761.6662598,18.3,100,482,4,0.959312512
1,2,0,,,,640.9990234,8.1,13.75,218,4,1.284066063
26,2,0,,,,589.4238892,13.4,22.25,65,4,1.02866934
9,1,0,,23.80952381,39.9,1103,16.9,100,333,4,1.111914638
58,1,0,,60,1148.308333,958.7199097,18.8,100,68,3,0.802915836
34,1,0,,60,270.7083333,1220.05542,14.8,,507,4,0.814912682
59,1,0,,40,64.5,1345.531738,22.2,,173,3,1.020424282
38,2,0,,,,471,23.5,68.25,669,4,1.098202274
54,2,5,208,,,611.9998779,25.8,79.75,467,4,1.217057492
43,2,10,21,,,656.9847412,24.4,64,285,4,1.026550307
27,2,5,9.217,,,615.6256714,22.5,39.75,793,4,0.815006954
3,2,0,,,,654.9988403,16.7,33.75,344,4,0.887690307
4,2,0,,,,659.8890381,15.7,28.25,810,4,0.617648789
6,2,10,337.915,,,636,15.1,46.5,213,4,1.158975164
25,2,0,,,,644.9887085,,15.5,233,4,0.765265274
68,2,0,,,,761.6662598,14.4,100,,,
9,2,0,,,,1103,18.4,100,146,4,1.259690682
58,2,0,,,,958.7199097,29,100,493,4,0.847316018
34,2,0,,,,1220.05542,20.3,,314,4,1.053182836
59,2,0,,,,1345.531738,24.5,,164,4,1.372124129
33,2,0,,,,786.1906738,22.8,96.25,333,4,1.148424778
56,1,,,25,388,596.3983765,,54,,,
47,1,,,10,54.25,1168.996826,14.1,,,,
41,1,,,50,235.75,580,18.7,40.25,,,
42,1,,,0,,624,,46.75,,,
15,1,,,50,142.35,618.6737671,,28.75,,,
24,1,,,,,651.5978394,19.7,,,,
62,1,,,,,752.8305664,,,,,
16,1,,,,,618,,,,,
61,1,,,,,771.2953491,,,,,
31,1,,,,,695.177063,,,,,
55,2,,,,,657.369751,12.6,,,,
55,2,,,,,657.369751,21.9, ,,,
32,2,,,,,746.2211304,12.5,83,378,3,0.822302749
