"","date","site","site_sampled","survey_period","ID","quadrant","length_mm","app_gosner","distance_from_shore_cm","depth_captured_cm","surface_temp","swabbed","Bd","GE_load","tail_short","record_type","amb_temp","adult_location","weight_g","SVL_mm","sex","elevation","Bd_binary","mean_temp","min_temp","max_temp","raw_count","species_richness","shannon_index"
"1","19/9/2022",1,10,1,"A1",NA,NA,NA,NA,NA,NA,NA,"Positive",167,NA,"Adult",14.1,"In reeds just above water<U+00A0>",35,35,"Male",641,1,13,11,26,713,4,1.267302723
"2","19/9/2022",1,10,1,"A2",NA,NA,NA,NA,NA,NA,NA,"Positive",538,NA,"Adult",14.1,"In reeds just above water<U+00A0>",4,31,"Male",641,1,13,11,26,713,4,1.267302723
"3","19/9/2022",1,10,1,"A3",NA,NA,NA,NA,NA,NA,NA,"Positive",201,NA,"Adult",14.1,"In reeds just above water<U+00A0>",32,33,"Male",641,1,13,11,26,713,4,1.267302723
"4","19/9/2022",1,10,1,"A4",NA,NA,NA,NA,NA,NA,NA,"Positive",0,NA,"Adult",14.1,"In reeds just above water<U+00A0>",22,31,"Male",641,1,13,11,26,713,4,1.267302723
"5","19/9/2022",1,10,1,"A5",NA,NA,NA,NA,NA,NA,NA,"Positive",2160,NA,"Adult",14.1,"In reeds just above water<U+00A0>",25,29,"Male",641,1,13,11,26,713,4,1.267302723
"6","19/9/2022",1,10,1,"A6",NA,NA,NA,NA,NA,NA,NA,"Negative",0,NA,"Adult",14.1,"In reeds just above water<U+00A0>",3,31,"Male",641,0,13,11,26,713,4,1.267302723
"7","19/9/2022",1,10,1,"A7",NA,NA,NA,NA,NA,NA,NA,"Negative",0,NA,"Adult",14.1,"In reeds just above water<U+00A0>",42,36,"Female",641,0,13,11,26,713,4,1.267302723
"8","26/9/2022",26,13,1,"A12",NA,NA,NA,NA,NA,NA,NA,"Positive",2880,NA,"Adult",14.3,"In grass 1 m from water",3,33,"Male",589,1,14,11,23,441,4,0.781582876
"9","26/9/2022",26,13,1,"A13",NA,NA,NA,NA,NA,NA,NA,"Positive",391,NA,"Adult",14.3,"In grass 1 m from water",25,33,"Male",589,1,14,11,23,441,4,0.781582876
"10","26/9/2022",26,13,1,"A14",NA,NA,NA,NA,NA,NA,NA,"Positive",0,NA,"Adult",14.3,"In grass 1 m from water",3,35,"Male",589,1,14,11,23,441,4,0.781582876
"11","26/9/2022",26,13,1,"A15",NA,NA,NA,NA,NA,NA,NA,"Positive",0,NA,"Adult",14.3,"In grass 1 m from water",275,32,"Male",589,1,14,11,23,441,4,0.781582876
"12","26/9/2022",26,13,1,"A16",NA,NA,NA,NA,NA,NA,NA,"Positive",0,NA,"Adult",14.3,"In grass 1 m from water",3,32,"Male",589,1,14,11,23,441,4,0.781582876
"13","26/9/2022",26,13,1,"A17",NA,NA,NA,NA,NA,NA,NA,"Positive",4420,NA,"Adult",14.3,"In grass 1 m from water",275,32,"Male",589,1,14,11,23,441,4,0.781582876
"14","26/9/2022",26,13,1,"A18",NA,NA,NA,NA,NA,NA,NA,"Positive",633,NA,"Adult",14.3,"In grass 1 m from water",25,34,"Male",589,1,14,11,23,441,4,0.781582876
"15","26/9/2022",26,13,1,"A19",NA,NA,NA,NA,NA,NA,NA,"Positive",4080,NA,"Adult",14.3,"In grass 1 m from water",3,33,"Male",589,1,14,11,23,441,4,0.781582876
"16","26/9/2022",26,13,1,"A20",NA,NA,NA,NA,NA,NA,NA,"Positive",0,NA,"Adult",14.3,"In grass 1 m from water",2,33,"Male",589,1,14,11,23,441,4,0.781582876
"17","26/9/2022",26,13,1,"A21",NA,NA,NA,NA,NA,NA,NA,"Negative",0,NA,"Adult",14.3,"In grass 1 m from water",35,34,"Female",589,0,14,11,23,441,4,0.781582876
"18","26/9/2022",26,13,1,"A22",NA,NA,NA,NA,NA,NA,NA,"Positive",1050,NA,"Adult",14.3,"In grass 1 m from water",2,31,"Male",589,1,14,11,23,441,4,0.781582876
"19","26/9/2022",26,13,1,"A23",NA,NA,NA,NA,NA,NA,NA,"Positive",216,NA,"Adult",14.3,"In grass 1 m from water",325,33,"Male",589,1,14,11,23,441,4,0.781582876
"20","26/9/2022",26,13,1,"A24",NA,NA,NA,NA,NA,NA,NA,"Positive",2250,NA,"Adult",14.3,"In grass 1 m from water",2,31,"Male",589,1,14,11,23,441,4,0.781582876
"21","27/9/2022",6,4,1,"A8",NA,NA,NA,NA,NA,NA,NA,"Positive",261,NA,"Adult",19.4,"In grass next to water",45,35,"Male",636,1,16,13,22,582,4,0.670755817
"22","27/9/2022",6,4,1,"A9",NA,NA,NA,NA,NA,NA,NA,"Positive",489,NA,"Adult",19.4,"In grass next to water",4,33,"Male",636,1,16,13,22,582,4,0.670755817
"23","27/9/2022",6,4,1,"A10",NA,NA,NA,NA,NA,NA,NA,"Positive",0,NA,"Adult",19.4,"In grass next to water",425,32,"Male",636,1,16,13,22,582,4,0.670755817
"24","27/9/2022",6,4,1,"A11",NA,NA,NA,NA,NA,NA,NA,"Positive",6870,NA,"Adult",19.4,"Above the water 30 cm high in the reeds",6,37,"Female",636,1,16,13,22,582,4,0.670755817
"25","30/9/2022",56,9,1,"A25",NA,NA,NA,NA,NA,NA,NA,"Negative",0,NA,"Adult",10.9,"In reeds 1 m from water",32,34,"Male",596,0,NA,NA,NA,NA,NA,NA
"26","30/9/2022",56,9,1,"A26",NA,NA,NA,NA,NA,NA,NA,"Negative",0,NA,"Adult",10.9,"In reeds 1 m from water",32,33,"Male",596,0,NA,NA,NA,NA,NA,NA
"27","30/9/2022",56,9,1,"A27",NA,NA,NA,NA,NA,NA,NA,"Negative",0,NA,"Adult",10.9,"In reeds above water",31,34,"Male",596,0,NA,NA,NA,NA,NA,NA
"28","30/9/2022",56,9,1,"A28",NA,NA,NA,NA,NA,NA,NA,"Positive",388,NA,"Adult",10.9,"In reeds above water",28,30,"Male",596,1,NA,NA,NA,NA,NA,NA
"29","2/10/2022",38,15,1,"A29",NA,NA,NA,NA,NA,NA,NA,"Positive",0,NA,"Adult",19.5,"In grass at top of dried dam, 4 m from water body",35,35,"Male",471,1,14,13,18,216,4,1.038440115
"30","2/10/2022",38,15,1,"A30",NA,NA,NA,NA,NA,NA,NA,"Positive",360,NA,"Adult",19.5,"In grass at top of dried dam, 4 m from water body",33,33,"Male",471,1,14,13,18,216,4,1.038440115
"31","2/10/2022",38,15,1,"A31",NA,NA,NA,NA,NA,NA,NA,"Positive",215,NA,"Adult",19.5,"In grass at top of dried dam, 4 m from water body",33,33,"Male",471,1,14,13,18,216,4,1.038440115
"32","2/10/2022",38,15,1,"A32",NA,NA,NA,NA,NA,NA,NA,"Positive",0,NA,"Adult",19.5,"In grass at top of dried dam, 4 m from water body",3,33,"Male",471,1,14,13,18,216,4,1.038440115
"33","2/10/2022",54,8,1,"A33",NA,NA,NA,NA,NA,NA,NA,"Negative",0,NA,"Adult",16.3,"In reed patches around waters edge, 0-5 m from boggy shore",3,30,"Male",612,0,14,12,25,398,4,1.254068971
"34","2/10/2022",54,8,1,"A34",NA,NA,NA,NA,NA,NA,NA,"Positive",5010,NA,"Adult",16.3,"In reed patches around waters edge, 0-5 m from boggy shore",4,36,"Female",612,1,14,12,25,398,4,1.254068971
"35","2/10/2022",54,8,1,"A35",NA,NA,NA,NA,NA,NA,NA,"Positive",395,NA,"Adult",16.3,"In reed patches around waters edge, 0-5 m from boggy shore",27,30,"Male",612,1,14,12,25,398,4,1.254068971
